Filename,chapterTimes_module (optional),chapterTimes_totalLength,chapter_begin,chapter_title
chaptertimes_J1140_Summer_05275AA.xml,Multiple Modules,0:29:05,0:00:00,Summer
chaptertimes_k7012_all_about_the_earth_00110aa.xml,Multiple Modules,0:25:20,0:00:00,All About the Earth
chaptertimes_K7013_All_About_the_Moon_00112AA.xml,Multiple Modules,0:24:01,0:00:00,All About the Moon
chaptertimes_k7015_all_about_the_sun_00116aa.xml,Multiple Modules,0:25:19,0:00:00,All About the Sun
chaptertimes_k7060_all_about_natural_resources_00088aa.xml,Multiple Modules,0:23:39,0:00:00,All About Natural Resources
chaptertimes_k7062_all_about_soil_00099aa.xml,Multiple Modules,0:22:53,0:00:00,All About Soil
chaptertimes_k7063_all_about_the_water_cycle_00102aa.xml,Multiple Modules,0:20:30,0:00:00,All About the Water Cycle
chaptertimes_K7064_All_About_Volcanoes_00103AA.xml,Multiple Modules,0:21:49,0:00:00,All About Volcanoes
chaptertimes_k7065_all_about_weathering_and_erosion_00106aa.xml,Multiple Modules,0:23:06,0:00:00,All About Weathering and Erosion
chaptertimes_k7075_what_is_energy_02335aa.xml,Multiple Modules,0:24:06,0:00:00,What is Energy?
chaptertimes_k7109_all_about_light_00083aa.xml,Multiple Modules,0:20:00,0:00:00,All About Light
chaptertimes_k7110_all_about_magnets_00084aa.xml,Multiple Modules,0:21:51,0:00:00,All About Magnets
chaptertimes_k7112_all_about_properties_of_matter_00094aa.xml,Multiple Modules,0:20:21,0:00:00,All About Properties of Matter
chaptertimes_n6608_fossils_00724aa.xml,Multiple Modules,0:22:37,0:00:00,Fossils
chaptertimes_n6610_land_formations_01024aa.xml,Multiple Modules,0:22:19,0:00:00,Land Formations
chaptertimes_n6618_the_water_cycle_02154aa.xml,Multiple Modules,0:25:37,0:00:00,The Water Cycle
chaptertimes_n6619_weathering_and_erosion_02323aa.xml,Multiple Modules,0:24:53,0:00:00,Weathering and Erosion
chaptertimes_n6641_climate_and_season_00441aa.xml,Multiple Modules,0:24:34,0:00:00,Climate and Seasons
chaptertimes_n6643_hurricanes_and_tornadoes_00895aa.xml,Multiple Modules,0:26:51,0:00:00,Huricanes and Tornadoes
chaptertimes_n6644_meteorology_01157aa.xml,Multiple Modules,0:23:00,0:00:00,Meteorology
chaptertimes_n6672_earth_00585aa.xml,Multiple Modules,0:24:55,0:00:00,Earth
chaptertimes_n6673_earths_atmosphere_00587aa.xml,Multiple Modules,0:26:18,0:00:00,Earth's Atmosphere
chaptertimes_n6674_moon_01181aa.xml,Multiple Modules,0:25:13,0:00:00,Moon
chaptertimes_n6678_sun_01781aa.xml,Multiple Modules,0:25:26,0:00:00,Sun
chaptertimes_n6735_elements_compounds_and_mixtures_00620aa.xml,Multiple Modules,0:23:44,0:00:00,"Elements, Compunds, and Mixtures"
chaptertimes_scc_properties_of_materials_08445aa.xml,Multiple Modules,0:08:59,0:00:00,Properties of Materials
chaptertimes_scc_solids_and_liquids_08443aa.xml,Multiple Modules,0:08:59,0:00:00,Solids and Liquids
chaptertimes_VideoPostergenericHD.xml,Multiple Modules,0:00:30,0:00:00,Video